iter	MultiClass
0	2.095523334
1	1.951852194
2	1.884306879
3	1.774605701
4	1.683408138
5	1.612046586
6	1.557762562
7	1.495292249
8	1.448007193
9	1.389972523
10	1.330442142
11	1.283610872
12	1.23697837
13	1.194630854
14	1.154056704
15	1.121909273
16	1.079828023
17	1.052078664
18	1.024684192
19	0.9853772589
20	0.9590230895
21	0.9398481854
22	0.9119343468
23	0.8818429858
24	0.8663064155
25	0.8481619286
26	0.8264723877
27	0.8027508029
28	0.787737156
29	0.7700956815
30	0.7541701278
31	0.7408264587
32	0.7288136184
33	0.7161425235
34	0.7009582022
35	0.6846542894
36	0.6687948346
37	0.6534555737
38	0.6406841374
39	0.6280436545
40	0.6187799352
41	0.6105398883
42	0.6008662085
43	0.5901690226
44	0.5770537914
45	0.5642434471
46	0.5578714339
47	0.5461375341
48	0.5385385248
49	0.5301430978
50	0.5219382123
51	0.5105470885
52	0.5050747897
53	0.4992000146
54	0.4962133687
55	0.4868291104
56	0.4817802941
57	0.4755180909
58	0.4659988915
59	0.4626834563
60	0.4574414934
61	0.4477388218
62	0.4386484107
63	0.432879438
64	0.427969083
65	0.4241102778
66	0.4188344168
67	0.4126548756
68	0.4090509674
69	0.4038898639
70	0.3972140136
71	0.392234563
72	0.3898519418
73	0.3849050833
74	0.3801265454
75	0.3748738565
76	0.3715084605
77	0.3658567996
78	0.3611755163
79	0.3570782263
80	0.3524904725
81	0.3468479157
82	0.341710136
83	0.3373214454
84	0.3326088577
85	0.327643915
86	0.3213739869
87	0.3200407561
88	0.3186946924
89	0.3166034779
90	0.3145658157
91	0.3118006411
92	0.3084450667
93	0.3063057257
94	0.3010487337
95	0.2957047427
96	0.2924831656
97	0.2891833004
98	0.2854359016
99	0.2812430901
100	0.2769974616
101	0.2756829276
102	0.2728762252
103	0.2681439919
104	0.2668657934
105	0.2636593582
106	0.2603228673
107	0.2560045308
108	0.2522796571
109	0.2498861252
110	0.2494548748
111	0.2483412104
112	0.2472189322
113	0.2466488478
114	0.2443987015
115	0.2416808093
116	0.2374850742
117	0.2369424026
118	0.2342244714
119	0.2335840779
120	0.2319864936
121	0.2294402545
122	0.2276570804
123	0.2255431874
124	0.2233782673
125	0.221115195
126	0.2207202095
127	0.2177004356
128	0.2166003143
129	0.2152672942
130	0.2135634003
131	0.2119599344
132	0.211536226
133	0.2097615023
134	0.2069901693
135	0.2065737155
136	0.2044924088
137	0.2029554387
138	0.2019104733
139	0.2007770954
140	0.1999539123
141	0.1995527105
142	0.1992291948
143	0.1976703038
144	0.1969537012
145	0.1966409591
146	0.1964335503
147	0.196140512
148	0.1946192134
149	0.1942687976
150	0.1930271176
151	0.1925522986
